'деньги, удача, успех';'кризис, бедность'
'энергия, много возможностей';'препятствия, перемены к худшему'
'защита, удача, воинственность';'негативные последствия'
'информация, общение';'ложь, сплетни'
'дорога, путь, путешествие';'неудача во время поездки'
'огонь, вдохновение';'завершение, остановка развития'
'дар, союз';'дар, союз'
'радость, влюбленность';'неожиданные препятствия'
'хаос, стихийные разрушения';'хаос, стихийные разрушения'
'нужда, неудача, все получится, но нужно терпение';'неверный путь'
'лед, застой';'лед, застой'
'цикличность, урожай, награда за усилия';'цикличность, урожай, награда за усилия'
'испытание, верная цель';'испытание, верная цель'
'тайна, новая информация';'неприятные секреты'
'защита';'уязвимость'
'солнце, радость, успех';'солнце, радость, успех'
'мужская руна, целеустремленность, сила воли, энергия';'отсутствие энергии'
'женская руна, семья, малая родина, осторожные начинание, благоприятный исход';'разногласия, противоречия'
'транспорт, перемещение, стремление вперёд';'неожиданные изменения'
'человек, я сам, память';'нарушение планов, отсутствие помощи? неподходящий человек'
'озеро, юность, вода, интуиция';'необдуманные решения ведут к проблемам'
'обновление, осознание, облегчение';'обновление, осознание, облегчение'
'наследие, собственность';'нетерпеливость, нарушение планов'
'рассвет, надежда';'рассвет, надежда'
'сам решай';'сам решай'
